university,database_name,guide_url,,,,
UConn,Federal Science Libraries Network,https://guides.lib.uconn.edu/DFO,,,,
UConn,Film & Television Literature Index,https://guides.lib.uconn.edu/FTLI,,,,
UConn,Film Platform Collection,https://guides.lib.uconn.edu/filmplatform,,,,
UConn,Films on Demand,https://guides.lib.uconn.edu/filmsondemand,,,,
UConn,First Research,https://guides.lib.uconn.edu/FirstResearch,,,,
UConn,First World War Poetry Digital Archive,https://guides.lib.uconn.edu/FirstWorldWarPoetry,,,,
UConn,Food and Nutrition Information Center,https://guides.lib.uconn.edu/DSGIR,,,,
UConn,Fortune Magazine Archive,https://guides.lib.uconn.edu/fortune,,,,
UConn,Foundation Directory Online,https://guides.lib.uconn.edu/FoundaDirectory,,,,
UConn,Gale eBooks,https://guides.lib.uconn.edu/GaleVRL,,,,
UConn,Gale Literature,https://guides.lib.uconn.edu/LiterarySources,,,,
UConn,Gale Literature Criticism,https://guides.lib.uconn.edu/LitCriticism,,,,
UConn,Gale Literature Resource Center,https://guides.lib.uconn.edu/LitResourceCenter,,,,
UConn,Gale Primary Sources,https://guides.lib.uconn.edu/GalePrimary,,,,
UConn,Garland Encyclopedia of World Music Online,https://guides.lib.uconn.edu/worldmusic,,,,
UConn,Gartner Market Analysis,https://guides.lib.uconn.edu/gma,,,,
UConn,GeoRef,https://guides.lib.uconn.edu/GeoRef,,,,
UConn,GeoRef in Process,https://guides.lib.uconn.edu/GeoRefinProcess,,,,
UConn,GeoScienceWorld,https://guides.lib.uconn.edu/GSW,,,,
UConn,Global Press Archive,https://ezproxy.lib.uconn.edu/login?url=https://gpa.eastview.com/,,,,
UConn,Google Scholar,https://guides.lib.uconn.edu/GoogleScholar,,,,
UConn,GovInfo,https://guides.lib.uconn.edu/GPOFDsys,,,,
UConn,GreenFILE,https://guides.lib.uconn.edu/GreenFile,,,,
UConn,Grove Art Online,https://guides.lib.uconn.edu/OxfordArt,,,,
UConn,Handbook of Latin American Studies,https://guides.lib.uconn.edu/HLAMSWeb,,,,
UConn,HAPI (Hispanic American Periodicals Index),https://guides.lib.uconn.edu/HAPI,,,,
UConn,Hartford Courant (Proquest Historical Newspapers),https://guides.lib.uconn.edu/HartfordCourantHistorical,,,,
UConn,Hartford Courant,https://guides.lib.uconn.edu/HartfordCourant,,,,
UConn,HathiTrust Digital Library,https://guides.lib.uconn.edu/Hathi,,,,
UConn,HeinOnline,https://guides.lib.uconn.edu/heinonline,,,,
UConn,HerbMedPro,https://guides.lib.uconn.edu/HerbMed,,,,
UConn,Hispanic American Newspapers 1808-1980,https://guides.lib.uconn.edu/HispanicAmNewspapers,,,,
UConn,Historical Abstracts with Full Text,https://guides.lib.uconn.edu/HAwithFullText,,,,
UConn,Historical Newspapers from ProQuest,https://guides.lib.uconn.edu/histnewspapers,,,,
UConn,Historical Periodicals from ProQuest,https://guides.lib.uconn.edu/ProQuestHistPeriodicals,,,,
UConn,Historical Statistics of the United States,https://guides.lib.uconn.edu/HSofUS,,,,
UConn,Homeland Security Digital Library,https://guides.lib.uconn.edu/HomelandSecDigLib,,,,
UConn,Human Rights Studies Online,https://guides.lib.uconn.edu/humanrightsstudiesonline,,,,
UConn,IBISWorld,https://guides.lib.uconn.edu/ibisworld,,,,
UConn,ICLR Law Reports,https://guides.lib.uconn.edu/ICLRLawReports,,,,
UConn,IEEE Xplore,https://guides.lib.uconn.edu/ieee,,,,
UConn,IGI Global,https://guides.lib.uconn.edu/igiglobal,,,,
UConn,Illustrated London News,https://guides.lib.uconn.edu/LondoNews,,,,
UConn,Images from the History of Medicine (IHM),https://guides.lib.uconn.edu/IHM,,,,
UConn,"Immigration: Records of the INS, 1880-1930",https://guides.lib.uconn.edu/INSrecords,,,,
UConn,InCites: Essential Science Indicators,https://guides.lib.uconn.edu/ESI,,,,
UConn,Independent Voices,https://guides.lib.uconn.edu/independentvoices,,,,
UConn,Indigenous Newspapers in North America,https://guides.lib.uconn.edu/americanindiannewspapers,,,,
UConn,Indigenous Peoples of North America,https://guides.lib.uconn.edu/IPNA,,,,
UConn,Ingenta Connect,https://guides.lib.uconn.edu/ingenta,,,,
UConn,Inspec,https://guides.lib.uconn.edu/inspec,,,,
UConn,International Encyclopedia of Social & Behavioral Sciences,https://guides.lib.uconn.edu/IESBS,,,,
UConn,International Financial Statistics,https://guides.lib.uconn.edu/ifs,,,,
UConn,International Medieval Bibliography,https://guides.lib.uconn.edu/IMB,,,,
UConn,International Pharmaceutical Abstracts,https://guides.lib.uconn.edu/ipa,,,,
UConn,Internet Archive eBooks and Texts Archive,https://guides.lib.uconn.edu/IAebookstext,,,,
UConn,IOP Journals,https://guides.lib.uconn.edu/IOPJA,,,,
UConn,IPA Source,https://guides.lib.uconn.edu/ipasource,,,,
UConn,Issues & Controversies,https://guides.lib.uconn.edu/IC,,,,
UConn,Iter: Gateway to the Middle Ages & Renaissance,https://guides.lib.uconn.edu/iter,,,,
UConn,Jewish Studies Source,https://guides.lib.uconn.edu/JSS,,,,
UConn,Journal Citation Reports (JCR),https://guides.lib.uconn.edu/JCR,,,,
UConn,Journals@OVID,https://guides.lib.uconn.edu/OvidNursing,,,,
UConn,Kanopy Streaming Video,https://guides.lib.uconn.edu/kanopy,,,,
UConn,Key Business Ratios,https://guides.lib.uconn.edu/KeyBusiness,,,,
UConn,Kirk-Othmer Encyclopedia of Chemical Technology,https://guides.lib.uconn.edu/EncyChemTechnology,,,,
UConn,Knovel,https://guides.lib.uconn.edu/Knovel,,,,
UConn,Latin American Newspapers,https://guides.lib.uconn.edu/WNALatAm,,,,
UConn,Latin American Newsstream,https://guides.lib.uconn.edu/LatAmNewstand,,,,
UConn,Latinx Thought & Culture: the NPR Archive 1979-1990,https://ezproxy.lib.uconn.edu/login?url=https://www.proquest.com/latx/advanced,,,,
UConn,Legal Information Source,https://guides.lib.uconn.edu/LegalInformationSource,,,,
UConn,Legal Source,https://guides.lib.uconn.edu/LegalSource,,,,
UConn,LegalTrac,https://guides.lib.uconn.edu/legaltrac,,,,
UConn,Legislative Insight by ProQuest,https://guides.lib.uconn.edu/leginsight,,,,
UConn,LGBT Magazine Archive,https://ezproxy.lib.uconn.edu/login?url=https://www.proquest.com/lgbtmashell?accountid=14518,,,,
UConn,LGBTQ+ Source,https://guides.lib.uconn.edu/LGBT_EBSCO,,,,
UConn,Liberty Magazine,https://guides.lib.uconn.edu/libertymag,,,,
UConn,"Library, Information Science & Technology Abstracts",https://guides.lib.uconn.edu/LISTA,,,,
UConn,"Lily, The",https://guides.lib.uconn.edu/lily,,,,
UConn,Linguistics and Language Behavior Abstracts (LLBA),https://guides.lib.uconn.edu/LLBA,,,,
UConn,Loeb Classical Library,https://guides.lib.uconn.edu/loeb,,,,
UConn,Los Angeles Times (Proquest Historical Newspapers),https://guides.lib.uconn.edu/LATimes,,,,
UConn,LSEG Workspace for Students,https://guides.lib.uconn.edu/Workspace,,,,
UConn,Magill OnLiterature Plus,https://guides.lib.uconn.edu/magill,,,,
UConn,"Making of Modern Law: Foreign, Comparative, and International Law",https://guides.lib.uconn.edu/foreignlaw,,,,
UConn,Making of Modern Law: Landmark Records from the US Court of Appeals,https://ezproxy.lib.uconn.edu/login?url=https://infotrac.gale.com/itweb/nellco_uconn?db=MMLR,,,,
UConn,Making of Modern Law: Legal Treatises,https://guides.lib.uconn.edu/MMLegalTreaties,,,,
UConn,Making of Modern Law: Primary Sources,https://guides.lib.uconn.edu/MMPrimarySources,,,,
UConn,Making of Modern Law: Trials,https://guides.lib.uconn.edu/trialsmoml,,,,
UConn,Making of Modern Law: U.S. Supreme Court Records and Briefs,https://guides.lib.uconn.edu/ussupremecourt,,,,
UConn,Making of the Modern World,https://guides.lib.uconn.edu/MMWG-K,,,,
UConn,Manuscript Women's Letters and Diaries,https://guides.lib.uconn.edu/WomenLettersandDiaries,,,,
UConn,Map and Geographic Information Center,https://guides.lib.uconn.edu/MAGIC,,,,
UConn,MasterFILE Premier,https://guides.lib.uconn.edu/MasterFile,,,,
UConn,MathSciNet (American Mathematical Society),https://guides.lib.uconn.edu/MathSciNet,,,,
UConn,MathSciNet (EBSCO),https://guides.lib.uconn.edu/MathSciEBSCOet,,,,
UConn,Medline (EBSCO),https://guides.lib.uconn.edu/medline,,,,
UConn,Medline (OVID),https://ezproxy.lib.uconn.edu/login?url=https://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=main&D=mesz,,,,
UConn,Medline (Web of Science),https://guides.lib.uconn.edu/MedineWoS,,,,
UConn,MedlinePlus,https://guides.lib.uconn.edu/MedlinePlus,,,,
UConn,Medscape,https://guides.lib.uconn.edu/medscape,,,,
UConn,Mental Measurements Yearbook with Tests in Print,https://guides.lib.uconn.edu/MMYBT,,,,
UConn,Merative Micromedex,https://guides.lib.uconn.edu/micromedex,,,,
UConn,Mergent Archives by FTSE Russell,https://guides.lib.uconn.edu/MergentArchives,,,,
UConn,Mergent Online,https://guides.lib.uconn.edu/MergenOnline,,,,
UConn,Mergent Online: Investext,https://guides.lib.uconn.edu/MergentInvestext,,,,
UConn,Meteorological & Geoastrophysical Abstracts,https://guides.lib.uconn.edu/MeteorGeoastrophysical,,,,
UConn,Middle English Compendium,https://guides.lib.uconn.edu/MEC,,,,
UConn,Mintel Reports,https://guides.lib.uconn.edu/MintelReports,,,,
UConn,Mirror Historical Archive,https://guides.lib.uconn.edu/Mirror,,,,
UConn,MIT Encyclopedia of the Cognitive Sciences,https://guides.lib.uconn.edu/MITEncyCognitive,,,,
UConn,MLA Directory of Periodicals,https://guides.lib.uconn.edu/MLADP,,,,
UConn,MLA International Bibliography,https://guides.lib.uconn.edu/MLAnBibliography,,,,
UConn,"Monde, Le",https://guides.lib.uconn.edu/lemonde,,,,
UConn,Monthly Bulletin of Statistics Online,https://guides.lib.uconn.edu/MBStats,,,,
UConn,Music Index,https://guides.lib.uconn.edu/MIO,,,,
UConn,Music Online: Opera in Video,https://guides.lib.uconn.edu/operainvideo,,,,
UConn,NAACP Papers,https://guides.lib.uconn.edu/naacp,,,,
UConn,"Nation Archive, The",https://guides.lib.uconn.edu/NationArchive,,,,
UConn,National Academies Press,https://guides.lib.uconn.edu/NAPress,,,,
UConn,National Citizen and Ballot Box,https://guides.lib.uconn.edu/citizenandballot,,,,
UConn,National Geographic Magazine Digital Archive 1888-2020,https://guides.lib.uconn.edu/ngm,,,,
UConn,National Geologic Map Database,https://guides.lib.uconn.edu/ngmd,,,,
UConn,National Theatre Collection,https://guides.lib.uconn.edu/NatTheatre,,,,
UConn,NatMed Pro (formerly Natural Medicines),https://guides.lib.uconn.edu/Nmedice,,,,
UConn,Nature,https://guides.lib.uconn.edu/NPG,,,,
UConn,Naxos Music Library,https://guides.lib.uconn.edu/NaxosMusic,,,,
UConn,NBER Working Papers,https://guides.lib.uconn.edu/nber,,,,
UConn,NetAdvantage,https://guides.lib.uconn.edu/StandardandPoor,,,,
UConn,New Dictionary of the History of Ideas,https://guides.lib.uconn.edu/DictionaryoftheHistoryofIdeas,,,,
UConn,New Pauly: Encyclopedia of the Ancient World,https://guides.lib.uconn.edu/NewPauly,,,,
UConn,New York Amsterdam News,https://guides.lib.uconn.edu/NYAmsterdam,,,,
UConn,New York Times (Proquest Historical Newspapers),https://guides.lib.uconn.edu/NYTimesHist,,,,
UConn,New York Times,https://guides.lib.uconn.edu/NYTimes,,,,
UConn,Newspaper Source Plus,https://guides.lib.uconn.edu/NewspaperSourcePlus,,,,
UConn,Newspapers through ProQuest,https://guides.lib.uconn.edu/NewsProQuest,,,,
UConn,Nexis Uni,https://guides.lib.uconn.edu/NexisUni,,,,
UConn,Nichols Collection Newspapers,https://guides.lib.uconn.edu/nicholscoll,,,,
UConn,NIFA Enterprise Search (National Institute of Food & Agriculture),https://guides.lib.uconn.edu/CRIS,,,,
UConn,"Nineteenth Century UK Periodicals, Part I",https://guides.lib.uconn.edu/UKPeriodicals,,,,
UConn,Nineteenth-Century British Pamphlets,https://guides.lib.uconn.edu/ncbpamphlets,,,,
UConn,NISO Standards,https://guides.lib.uconn.edu/NISOstandards,,,,
UConn,NOAA Fisheries,https://guides.lib.uconn.edu/noaafish,,,,
UConn,NOAA Institutional Repository,https://guides.lib.uconn.edu/noaa,,,,
UConn,NTRL (National Technical Information Services),https://guides.lib.uconn.edu/ntis,,,,
UConn,O'Reilly for Higher Education,https://guides.lib.uconn.edu/safari,,,,
UConn,OAIster,https://guides.lib.uconn.edu/OAI,,,,
UConn,Oceanic Abstracts,https://guides.lib.uconn.edu/OceanicAbstracts,,,,
UConn,OECD iLibrary,https://guides.lib.uconn.edu/OECD,,,,
UConn,Office of Dietary Supplements Health Information,https://guides.lib.uconn.edu/ODietSuppleHealthInfo,,,,
UConn,OMIM: Online Mendelian Inheritance in Man,https://guides.lib.uconn.edu/OMIM,,,,
UConn,OMMID : Online Metabolic and Molecular Bases of Inherited Disease,https://guides.lib.uconn.edu/OMMBID,,,,
UConn,Open Library,https://guides.lib.uconn.edu/openlibrary,,,,
UConn,Opera del Vocabolario Italiano,https://guides.lib.uconn.edu/OperaOVocabolario,,,,
UConn,Optica,https://guides.lib.uconn.edu/OIinfoBase,,,,
UConn,Organic Syntheses,https://guides.lib.uconn.edu/OrganicSyntheses,,,,
